Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ADA,2020-08-04,0.1374365006,0.1338815894,0.1394952645,0.1321812133
ADA,2020-08-05,0.1445511738,0.1377321017,0.1482953653,0.1365787543
ADA,2020-08-06,0.1417287977,0.1433811856,0.1453828888,0.1402126116
ADA,2020-08-07,0.1435736671,0.1424761544,0.1461011161,0.1400804164
ADA,2020-08-08,0.1402128257,0.1446710697,0.1476745013,0.1334627774
ADA,2020-08-09,0.1467605553,0.1391144886,0.1478845514,0.1375364711
ADA,2020-08-10,0.1448227745,0.1469971596,0.1523778366,0.142310327
ADA,2020-08-11,0.1434586016,0.1452801889,0.1465134948,0.1421033006
ADA,2020-08-12,0.1348550861,0.1440054597,0.1446165377,0.1316916347
ADA,2020-08-13,0.1366710116,0.1369521546,0.1380302398,0.1237543681
ADA,2020-08-14,0.1398455663,0.1367865885,0.1422739855,0.1320615745
ADA,2020-08-15,0.1393416547,0.139507503,0.1413710442,0.1376607835
ADA,2020-08-16,0.1383927244,0.1385591948,0.1419338286,0.1364860387
ADA,2020-08-17,0.1387292012,0.1384907987,0.1396797237,0.1351053927
ADA,2020-08-18,0.1422082701,0.1388474158,0.1447705982,0.1374758241
ADA,2020-08-19,0.1384970396,0.1407575136,0.1434488017,0.1341910094
ADA,2020-08-20,0.1307905267,0.1370832226,0.1383511469,0.1265911317
ADA,2020-08-21,0.1328270881,0.1297625787,0.1332805468,0.1262817597
ADA,2020-08-22,0.1243357656,0.1343116247,0.1344876824,0.121888204
ADA,2020-08-23,0.1260368016,0.1231980025,0.1263124536,0.118442548
ADA,2020-08-24,0.1218481876,0.1253042034,0.1259665298,0.1195956291
ADA,2020-08-25,0.1243245209,0.1215698883,0.1271209167,0.1201769194
ADA,2020-08-26,0.1129864396,0.1237045342,0.1240333496,0.1055781454
ADA,2020-08-27,0.1148069272,0.1125350727,0.1182378012,0.1108369848
ADA,2020-08-28,0.1053957734,0.1144266761,0.1158204885,0.1024617117
